run,layer,pair,unit_x,unit_y,rho,c_x,c_y,kappa,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
b,5,identity:spread,u0,,0.5285333424328853,0.3493257492895619,nan,0.6609341762273404,nan,nan,nan
b,6,tail-strided,u0,u1,0.7013060359970921,0.7262527503181981,0.688009050647358,0.8440869429956405,0.7293631160594132,0.9325790016624957,0.0
b,6,tail-spread,u0,u0,0.6450914904939445,0.7262527503181981,0.837242396690832,0.9708649993375232,0.8850562083038636,1.0555191783704367,0.0
b,6,tail-spread,u0,u1,0.6757770247704173,0.7262527503181981,0.7956004557106329,0.9246762337294718,0.8255448442106157,1.0104212794521377,0.0
b,6,strided-spread,u1,u0,0.7846969429143008,0.688009050647358,0.837242396690832,0.8567846979698555,0.7685472813054481,0.9198702065814923,0.0
b,6,strided-spread,u1,u1,0.8878400167418681,0.688009050647358,0.7956004557106329,0.7851944648969297,0.6694889450980026,0.8741582543917877,0.0
b,6,identity:tail,u0,,0.759300113181938,0.7262527503181981,nan,0.9564765469015263,nan,nan,nan
b,6,identity:strided,u1,,0.9236216666137256,0.688009050647358,nan,0.7449035416956011,nan,nan,nan
b,6,identity:spread,u0,,0.8495869805558325,0.837242396690832,nan,0.9854698999072182,nan,nan,nan
b,7,tail-strided,u0,u1,0.619808504176052,0.7434355041505571,0.7220579687118563,0.9306340022686197,0.848704698677625,1.0342936706491483,0.0
b,7,tail-spread,u0,u0,0.6411749023772123,0.7434355041505571,0.8066667261557928,0.9671202200055325,0.8894289370623882,1.0494656208489654,0.0
b,7,tail-spread,u0,u1,0.6121994225884606,0.7434355041505571,0.7486212390681655,0.9534683101062655,0.8593747270027331,1.0579727931265548,0.0
b,7,strided-spread,u1,u0,0.8174332769508185,0.7220579687118563,0.8066667261557928,0.8441253592319721,0.7728663831551252,0.9091151763393226,0.0
b,7,strided-spread,u1,u1,0.8934024536158407,0.7220579687118563,0.7486212390681655,0.7778458416841566,0.6895597781927093,0.8634343777858535,0.0
b,7,identity:tail,u0,,0.6972537614501431,0.7434355041505571,nan,1.0662337663182564,nan,nan,nan
b,7,identity:strided,u1,,0.8889281613726673,0.7220579687118563,nan,0.8122793270458066,nan,nan,nan
b,7,identity:spread,u0,,0.9195718084671234,0.8066667261557928,nan,0.8772199394634148,nan,nan,nan
