run,layer,n_steps,lag_dumps,lag_steps,c_forward,c_backward,asymmetry,pairs
A,4,18,-3,-75,0.5769277096840711,0.6940808987680332,-0.1171531890839621,12
A,4,18,-2,-50,0.6137722645992605,0.7092225455061852,-0.09545028090692476,14
A,4,18,-1,-25,0.648109859750486,0.6985475681288793,-0.05043770837839334,16
A,4,18,0,0,0.6808415012599509,0.6808415012599509,0.0,18
A,4,18,1,25,0.6985475681288793,0.648109859750486,0.05043770837839334,16
A,4,18,2,50,0.7092225455061852,0.6137722645992605,0.09545028090692476,14
A,4,18,3,75,0.6940808987680332,0.5769277096840711,0.1171531890839621,12
A,4,18,4,100,0.6850837229752628,0.5545778904788982,0.1305058324963646,10
B,4,18,-4,-100,0.6499113880821218,0.7011206009812722,-0.05120921289915037,10
B,4,18,-3,-75,0.6843252405025745,0.7489424333684346,-0.0646171928658601,12
B,4,18,-2,-50,0.7280288126130453,0.7868405255007288,-0.0588117128876835,14
B,4,18,-1,-25,0.772763040386848,0.8036599452517363,-0.030896904864888386,16
B,4,18,0,0,0.8053945411926758,0.8053945411926758,0.0,18
B,4,18,1,25,0.8036599452517363,0.772763040386848,0.030896904864888386,16
B,4,18,2,50,0.7868405255007288,0.7280288126130453,0.0588117128876835,14
B,4,18,3,75,0.7489424333684346,0.6843252405025745,0.0646171928658601,12
B,4,18,4,100,0.7011206009812722,0.6499113880821218,0.05120921289915037,10
A,5,17,-4,-100,0.6507070780997976,0.7597670239372926,-0.10905994583749501,9
A,5,17,-3,-75,0.6742490693227519,0.7826545237604532,-0.10840545443770133,11
A,5,17,-2,-50,0.7039996031809116,0.7998487129074565,-0.09584910972654492,13
A,5,17,-1,-25,0.7419806651976456,0.7971668901221495,-0.05518622492450387,15
A,5,17,0,0,0.7840163030660877,0.7840163030660877,0.0,17
A,5,17,1,25,0.7971668901221495,0.7419806651976456,0.05518622492450387,15
A,5,17,2,50,0.7998487129074565,0.7039996031809116,0.09584910972654492,13
A,5,17,3,75,0.7826545237604532,0.6742490693227519,0.10840545443770133,11
A,5,17,4,100,0.7597670239372926,0.6507070780997976,0.10905994583749501,9
B,5,17,-4,-100,0.60928486568812,0.7596562018466992,-0.15037133615857923,9
B,5,17,-3,-75,0.647576124325857,0.7820324327931136,-0.13445630846725665,11
B,5,17,-2,-50,0.6918884280771581,0.7933519254865333,-0.10146349740937521,13
B,5,17,-1,-25,0.7401543828674522,0.7936742226306274,-0.0535198397631752,15
B,5,17,0,0,0.7786437977182479,0.7786437977182479,0.0,17
