step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
275,2,True,,A,1.6748,1.4849,0.9026090534356184,0.8642554555347942,0.8418063242263831,0.897795272570139,0.6067184480023528,0.9683684669217716,0.8213682990563922,0.9585554808400267,0
275,3,True,,A,1.5996,2.0015,0.8389058381017884,0.8126512890756804,0.7653178287287561,0.8610263081753007,0.7247304801711257,0.9144930717105554,0.7625735705667882,0.931206760317944,0
275,4,True,,A,1.7666,1.8198,0.6058578241008904,0.7598467984158601,0.6407710771544575,0.8964562694293245,0.4130710396283088,0.7750505512322747,0.7784053361845049,1.0135405953861192,0
275,5,True,,A,1.9526,1.6948,0.6726227251896509,0.7715883606620331,0.5902087208246185,0.8228295441099812,0.44681708522243585,0.8094490273545895,0.684017564779016,0.9597366619052099,0
275,6,True,,A,1.7925,1.8086,0.6889512667310748,0.8098251325354163,0.6853803693620545,0.8975676770444511,0.5425620111417165,0.808477185667446,0.8029550513270987,0.9774666533847346,0
275,7,True,,A,2.104,2.3398,0.4657456157404796,0.8265209821023116,0.49478887554545203,0.937049465333612,0.22040087415252804,0.713668924836435,0.7671273236955451,1.1024523607383407,0
275,8,True,,A,1.8774,1.7554,0.7002301046540781,0.788608119056437,0.7044737171268944,0.8907229253902693,0.5515449803762809,0.8238758686675313,0.7939792759843527,0.9704880121836208,0
275,9,True,,A,2.3467,2.1177,0.5408722327329701,0.7660739926069446,0.48358375211961174,0.8276064497446876,0.26382268227919853,0.7762903847242835,0.6769573192479791,1.0041362472371607,0
300,2,True,,A,1.6118,1.3916,0.8776131023207328,0.83285855903684,0.8347773631287776,0.8900602567983724,0.6093937466296327,0.9545698786951938,0.7919975405728032,0.9546827368615051,0
300,3,True,,A,1.7285,1.5269,0.8012667721514192,0.7461800887157704,0.7239425434373852,0.8210796924993734,0.6757907757084888,0.8922083577102702,0.7051125865586726,0.9075747789133384,0
300,4,True,,A,1.8633,1.6729,0.5774481881247003,0.6784825775549066,0.5734078892047442,0.8208138397759699,0.37314875746763715,0.7685722610811643,0.6481568217008083,0.9689291312891388,0
300,5,True,,A,2.0303,1.5757,0.6684689939281964,0.7170238165225327,0.5478125777747671,0.7665529449395232,0.4447120026789224,0.8202706693267322,0.5997925299211548,0.8988779339532748,0
300,6,True,,A,2.0874,1.9502,0.7397567345078545,0.7638526188967378,0.6594255140923,0.8251695538675792,0.5743942974560001,0.8565214611372571,0.7214266722284898,0.9104847779598413,0
300,7,True,,A,2.3345,2.1489,0.4685719464752537,0.763848512992315,0.4866839028089396,0.8907154140184024,0.269791525148509,0.6996495834354906,0.7126511310659202,1.0654465724827795,0
