unit,run,asset,half,layer,expert,price,bias
a/strided/h1,a,strided,h1,5,28,0.00846775779,0.000874519348
a/strided/h1,a,strided,h1,5,29,-0.00643383461,-0.00112438202
a/strided/h1,a,strided,h1,5,30,0.0126434606,-0.00312328339
a/strided/h1,a,strided,h1,5,31,0.0139649952,-0.0021238327
a/strided/h1,a,strided,h1,5,32,0.0102643619,-0.00712108612
a/strided/h1,a,strided,h1,5,33,-0.0733027396,-0.000124931335
a/strided/h1,a,strided,h1,5,34,0.0089392594,-0.000124931335
a/strided/h1,a,strided,h1,5,35,0.0140836082,-0.000124931335
a/strided/h1,a,strided,h1,5,36,0.0070190315,-0.00112438202
a/strided/h1,a,strided,h1,5,37,0.012297549,0.00687122345
a/strided/h1,a,strided,h1,5,38,0.0155016006,0.00187397003
a/strided/h1,a,strided,h1,5,39,0.0133168946,-0.000124931335
a/strided/h1,a,strided,h1,5,40,0.00781895564,0.00587177277
a/strided/h1,a,strided,h1,5,41,0.0143078106,0.00587177277
a/strided/h1,a,strided,h1,5,42,0.0137765079,0.00287342072
a/strided/h1,a,strided,h1,5,43,0.00109387533,0.000874519348
a/strided/h1,a,strided,h1,5,44,0.010052297,0.00187397003
a/strided/h1,a,strided,h1,5,45,0.00207056914,-0.000124931335
a/strided/h1,a,strided,h1,5,46,0.00540396635,-0.00112438202
a/strided/h1,a,strided,h1,5,47,-0.0012147029,-0.00112438202
a/strided/h1,a,strided,h1,5,48,0.007738474,-0.00312328339
a/strided/h1,a,strided,h1,5,49,0.0115622838,-0.00612163544
a/strided/h1,a,strided,h1,5,50,0.00264658936,-0.00312328339
a/strided/h1,a,strided,h1,5,51,0.0127756732,0.00187397003
a/strided/h1,a,strided,h1,5,52,0.011375765,-0.000124931335
a/strided/h1,a,strided,h1,5,53,0.00895707688,-0.00112438202
a/strided/h1,a,strided,h1,5,54,0.00651624118,-0.00312328339
a/strided/h1,a,strided,h1,5,55,0.0118651247,0.00687122345
a/strided/h1,a,strided,h1,5,56,0.00862547982,-0.0111188889
a/strided/h1,a,strided,h1,5,57,-0.0269461528,0.0038728714
a/strided/h1,a,strided,h1,5,58,0.00611572777,-0.00412273407
a/strided/h1,a,strided,h1,5,59,0.00938268419,-0.00312328339
a/strided/h1,a,strided,h1,5,60,0.000794727066,0.0038728714
a/strided/h1,a,strided,h1,5,61,3.72954546e-05,0.0038728714
a/strided/h1,a,strided,h1,5,62,-0.260521201,0.00287342072
a/strided/h1,a,strided,h1,5,63,0.0130793072,0.00287342072
a/strided/h1,a,strided,h1,6,0,0.00843579151,0.000858902931
a/strided/h1,a,strided,h1,6,1,0.0111042263,-0.00613725185
a/strided/h1,a,strided,h1,6,2,0.00444426217,-0.00513780117
a/strided/h1,a,strided,h1,6,3,0.0132102307,0.000858902931
a/strided/h1,a,strided,h1,6,4,0.00647549486,-0.0031388998
a/strided/h1,a,strided,h1,6,5,0.00828179546,-0.00513780117
a/strided/h1,a,strided,h1,6,6,0.00715791077,0.000858902931
a/strided/h1,a,strided,h1,6,7,0.00632569395,0.00185835361
a/strided/h1,a,strided,h1,6,8,0.011625318,0.00385725498
a/strided/h1,a,strided,h1,6,9,0.00787031852,0.00585615635
a/strided/h1,a,strided,h1,6,10,0.011892276,0.00785505772
a/strided/h1,a,strided,h1,6,11,-0.0887298936,-0.012133956
a/strided/h1,a,strided,h1,6,12,-0.00425124246,0.00385725498
a/strided/h1,a,strided,h1,6,13,0.0127766953,0.00485670567
a/strided/h1,a,strided,h1,6,14,0.00882245616,-0.000140547752
a/strided/h1,a,strided,h1,6,15,0.0101141987,0.0028578043
a/strided/h1,a,strided,h1,6,16,0.00867437587,0.00185835361
a/strided/h1,a,strided,h1,6,17,0.0104394044,-0.000140547752
a/strided/h1,a,strided,h1,6,18,0.00908447631,-0.000140547752
a/strided/h1,a,strided,h1,6,19,0.0027365835,0.000858902931
a/strided/h1,a,strided,h1,6,20,0.0117412304,0.00185835361
a/strided/h1,a,strided,h1,6,21,-0.0661045088,-0.00113999844
a/strided/h1,a,strided,h1,6,22,-0.0348134337,-0.000140547752
a/strided/h1,a,strided,h1,6,23,-0.00325203579,0.00585615635
a/strided/h1,a,strided,h1,6,24,0.00515270621,-0.000140547752
a/strided/h1,a,strided,h1,6,25,0.00945556691,0.00185835361
a/strided/h1,a,strided,h1,6,26,0.00581824376,0.00185835361
a/strided/h1,a,strided,h1,6,27,0.00727277311,0.00185835361
a/strided/h1,a,strided,h1,6,28,0.00924953182,0.000858902931
a/strided/h1,a,strided,h1,6,29,0.0132013561,0.000858902931
a/strided/h1,a,strided,h1,6,30,0.0127155368,0.00485670567
a/strided/h1,a,strided,h1,6,31,0.00751690116,0.000858902931
a/strided/h1,a,strided,h1,6,32,0.0112952424,-0.00213944912
a/strided/h1,a,strided,h1,6,33,0.00512644105,-0.00213944912
a/strided/h1,a,strided,h1,6,34,0.00677054577,-0.00213944912
a/strided/h1,a,strided,h1,6,35,0.00971035768,-0.00713670254
a/strided/h1,a,strided,h1,6,36,0.0070596134,-0.00413835049
a/strided/h1,a,strided,h1,6,37,-0.0197714025,0.0028578043
a/strided/h1,a,strided,h1,6,38,0.003668853,-0.0031388998
a/strided/h1,a,strided,h1,6,39,0.0104976428,0.00185835361
a/strided/h1,a,strided,h1,6,40,-0.00736344544,0.00185835361
a/strided/h1,a,strided,h1,6,41,0.00990317963,-0.000140547752
a/strided/h1,a,strided,h1,6,42,-0.0509092331,-0.00613725185
a/strided/h1,a,strided,h1,6,43,0.0080958299,0.00385725498
a/strided/h1,a,strided,h1,6,44,-0.00204722475,-0.00513780117
a/strided/h1,a,strided,h1,6,45,0.00612571106,-0.00213944912
a/strided/h1,a,strided,h1,6,46,0.0128662439,-0.00613725185
a/strided/h1,a,strided,h1,6,47,-0.00799514524,0.000858902931
a/strided/h1,a,strided,h1,6,48,0.00257394664,-0.00513780117
a/strided/h1,a,strided,h1,6,49,-0.00689315501,0.00485670567
a/strided/h1,a,strided,h1,6,50,0.00303578532,0.0028578043
a/strided/h1,a,strided,h1,6,51,0.01282659,0.0028578043
a/strided/h1,a,strided,h1,6,52,0.00360548116,0.0028578043
a/strided/h1,a,strided,h1,6,53,-0.0308980717,-0.0031388998
a/strided/h1,a,strided,h1,6,54,0.00460552067,0.00185835361
a/strided/h1,a,strided,h1,6,55,0.00056087986,-0.00413835049
a/strided/h1,a,strided,h1,6,56,0.0034662468,0.00685560703
a/strided/h1,a,strided,h1,6,57,0.00651153006,0.0028578043
a/strided/h1,a,strided,h1,6,58,0.00554706265,-0.00413835049
a/strided/h1,a,strided,h1,6,59,-0.0522040015,-0.00413835049
a/strided/h1,a,strided,h1,6,60,0.0105789128,0.00685560703
a/strided/h1,a,strided,h1,6,61,0.00988702678,-0.00413835049
a/strided/h1,a,strided,h1,6,62,-0.0289545779,0.000858902931
a/strided/h1,a,strided,h1,6,63,0.00827337351,-0.00213944912
a/strided/h1,a,strided,h1,7,0,0.00783386089,0.00683999062
a/strided/h1,a,strided,h1,7,1,0.00203484933,-0.00715231895
a/strided/h1,a,strided,h1,7,2,0.00790123952,0.00584053993
a/strided/h1,a,strided,h1,7,3,0.00382057212,-0.00715231895
a/strided/h1,a,strided,h1,7,4,-0.002995392,-0.00115561485
a/strided/h1,a,strided,h1,7,5,-0.0873898116,0.00484108925
a/strided/h1,a,strided,h1,7,6,-0.0174628682,-0.00115561485
a/strided/h1,a,strided,h1,7,7,0.00222651505,-0.010150671
a/strided/h1,a,strided,h1,7,8,0.00553729323,-0.0041539669
a/strided/h1,a,strided,h1,7,9,0.00721974888,0.00484108925
a/strided/h1,a,strided,h1,7,10,0.00518010215,0.00584053993
a/strided/h1,a,strided,h1,7,11,-0.00117537721,0.00584053993
a/strided/h1,a,strided,h1,7,12,0.00863004763,0.000843286514
a/strided/h1,a,strided,h1,7,13,0.0123724698,0.00883889198
a/strided/h1,a,strided,h1,7,14,0.0007675384,-0.000156164169
a/strided/h1,a,strided,h1,7,15,0.0127206911,0.00584053993
a/strided/h1,a,strided,h1,7,16,0.00526600339,-0.00315451622
a/strided/h1,a,strided,h1,7,17,0.00837039862,0.00284218788
a/strided/h1,a,strided,h1,7,18,-0.00301071435,-0.0041539669
a/strided/h1,a,strided,h1,7,19,0.00741812548,0.0078394413
a/strided/h1,a,strided,h1,7,20,0.00328887448,-0.00115561485
a/strided/h1,a,strided,h1,7,21,0.0103165964,0.00284218788
a/strided/h1,a,strided,h1,7,22,0.00646617294,-0.0111501217
a/strided/h1,a,strided,h1,7,23,0.00857819997,0.000843286514
a/strided/h1,a,strided,h1,7,24,0.00623035066,-0.010150671
a/strided/h1,a,strided,h1,7,25,-0.00334270663,-0.00315451622
a/strided/h1,a,strided,h1,7,26,0.00980849944,0.00484108925
a/strided/h1,a,strided,h1,7,27,0.00279675362,-0.00115561485
a/strided/h1,a,strided,h1,7,28,-0.0116631884,-0.0111501217
a/strided/h1,a,strided,h1,7,29,0.00645984368,-0.00715231895
a/strided/h1,a,strided,h1,7,30,0.00244105079,0.0018427372
a/strided/h1,a,strided,h1,7,31,0.009453405,-0.00115561485
a/strided/h1,a,strided,h1,7,32,-0.00113971431,-0.00615286827
a/strided/h1,a,strided,h1,7,33,0.00227449097,-0.00215506554
a/strided/h1,a,strided,h1,7,34,0.00662742214,-0.00215506554
a/strided/h1,a,strided,h1,7,35,0.00773167059,0.00484108925
a/strided/h1,a,strided,h1,7,36,-0.00341295071,-0.000156164169
a/strided/h1,a,strided,h1,7,37,0.00548302972,0.00384163857
a/strided/h1,a,strided,h1,7,38,0.00855986409,0.00384163857
a/strided/h1,a,strided,h1,7,39,0.00803797513,0.00484108925
a/strided/h1,a,strided,h1,7,40,0.00716075402,-0.000156164169
a/strided/h1,a,strided,h1,7,41,0.00607882192,-0.00215506554
a/strided/h1,a,strided,h1,7,42,0.0110793028,0.00683999062
a/strided/h1,a,strided,h1,7,43,0.0094306358,0.00384163857
a/strided/h1,a,strided,h1,7,44,0.00585962351,-0.0041539669
a/strided/h1,a,strided,h1,7,45,-0.0442679421,-0.00115561485
a/strided/h1,a,strided,h1,7,46,0.013262451,0.00284218788
a/strided/h1,a,strided,h1,7,47,0.0111729771,-0.00615286827
a/strided/h1,a,strided,h1,7,48,-0.00218297324,-0.00115561485
a/strided/h1,a,strided,h1,7,49,-0.0339195653,0.00284218788
a/strided/h1,a,strided,h1,7,50,0.00457354922,-0.00215506554
a/strided/h1,a,strided,h1,7,51,0.00958908729,0.0078394413
a/strided/h1,a,strided,h1,7,52,0.010841634,-0.00115561485
a/strided/h1,a,strided,h1,7,53,0.00077086718,-0.0041539669
a/strided/h1,a,strided,h1,7,54,0.00939289418,0.0018427372
a/strided/h1,a,strided,h1,7,55,0.00666202985,0.00484108925
a/strided/h1,a,strided,h1,7,56,-0.00714169225,0.00284218788
a/strided/h1,a,strided,h1,7,57,-0.0161156579,-0.00115561485
a/strided/h1,a,strided,h1,7,58,-0.0821526591,0.0018427372
a/strided/h1,a,strided,h1,7,59,0.00283203072,-0.00115561485
a/strided/h1,a,strided,h1,7,60,0.00629346732,-0.00215506554
a/strided/h1,a,strided,h1,7,61,0.00707922604,-0.00115561485
a/strided/h1,a,strided,h1,7,62,0.0129280448,0.0018427372
a/strided/h1,a,strided,h1,7,63,-0.0194878389,-0.00215506554
a/strided/h1,a,strided,h1,8,0,0.010266259,-0.00501286983
a/strided/h1,a,strided,h1,8,1,0.00225912977,-0.0070117712
a/strided/h1,a,strided,h1,8,2,0.00920233608,-0.00301396847
a/strided/h1,a,strided,h1,8,3,0.00587229163,-0.00901067257
a/strided/h1,a,strided,h1,8,4,0.00741034711,-0.0150073767
a/strided/h1,a,strided,h1,8,5,0.00917791028,-0.00501286983
a/strided/h1,a,strided,h1,8,6,0.0166183814,0.00797998905
a/strided/h1,a,strided,h1,8,7,0.00889719196,-0.00801122189
a/strided/h1,a,strided,h1,8,8,0.00268071063,-0.00301396847
a/strided/h1,a,strided,h1,8,9,0.00864100235,0.00398218632
a/strided/h1,a,strided,h1,8,10,0.011289233,0.00997889042
a/strided/h1,a,strided,h1,8,11,-0.00905432494,0.00398218632
a/strided/h1,a,strided,h1,8,12,0.00350857445,0.00198328495
a/strided/h1,a,strided,h1,8,13,0.0146553539,-1.56164169e-05
a/strided/h1,a,strided,h1,8,14,0.00921120599,0.00698053837
a/strided/h1,a,strided,h1,8,15,0.00223766558,-0.0010150671
a/strided/h1,a,strided,h1,8,16,0.0118784026,-0.0010150671
